mes,vehiculo,km
2025-04,AUTO,363.0
2025-04,CAMINANDO,29.2
2025-04,COLECTIVO,216.0
2025-04,MOTO,316.2
2025-04,SUBTE,23.0
2025-04,TREN,0.0
2025-05,AUTO,790.5
2025-05,CAMINANDO,27.1
2025-05,COLECTIVO,401.0
2025-05,MOTO,132.8
2025-05,SUBTE,2.4
2025-05,TREN,9.0
2025-06,AUTO,128.1
2025-06,CAMINANDO,48.1
2025-06,COLECTIVO,597.4
2025-06,MOTO,147.5
2025-06,SUBTE,18.6
2025-06,TREN,14.9
2025-07,AUTO,724.4
2025-07,CAMINANDO,34.4
2025-07,COLECTIVO,355.4
2025-07,MOTO,152.4
2025-07,SUBTE,3.8
2025-07,TREN,9.0
2025-08,AUTO,430.7
2025-08,CAMINANDO,47.2
2025-08,COLECTIVO,462.4
2025-08,MOTO,208.0
2025-08,SUBTE,10.5
2025-08,TREN,39.3
2025-09,AUTO,510.2
2025-09,CAMINANDO,42.8
2025-09,COLECTIVO,466.5
2025-09,MOTO,216.2
2025-09,SUBTE,5.0
2025-09,TREN,33.0
2025-10,AUTO,802.1
2025-10,CAMINANDO,44.1
2025-10,COLECTIVO,445.9
2025-10,MOTO,161.1
2025-10,SUBTE,8.1
2025-10,TREN,25.6
2025-11,AUTO,1014.4
2025-11,CAMINANDO,21.4
2025-11,COLECTIVO,374.9
2025-11,MOTO,101.9
2025-11,SUBTE,22.4
2025-11,TREN,0.0
2025-12,AUTO,700.1
2025-12,CAMINANDO,33.7
2025-12,COLECTIVO,467.0
2025-12,MOTO,301.8
2025-12,SUBTE,2.7
2025-12,TREN,9.0
2026-01,AUTO,802.3
2026-01,CAMINANDO,35.8
2026-01,COLECTIVO,526.9
2026-01,MOTO,236.3
2026-01,SUBTE,3.8
2026-01,TREN,15.9
2026-02,AUTO,1042.7
2026-02,CAMINANDO,35.6
2026-02,COLECTIVO,455.0
2026-02,MOTO,78.0
2026-02,SUBTE,7.9
2026-02,TREN,17.6
2026-03,AUTO,763.8
2026-03,CAMINANDO,52.2
2026-03,COLECTIVO,431.2
2026-03,MOTO,268.2
2026-03,SUBTE,5.4
2026-03,TREN,9.8
2026-04,AUTO,570.3
2026-04,CAMINANDO,50.0
2026-04,COLECTIVO,440.6
2026-04,MOTO,262.9
2026-04,SUBTE,5.6
2026-04,TREN,9.1
2026-05,AUTO,505.3
2026-05,CAMINANDO,42.7
2026-05,COLECTIVO,365.3
2026-05,MOTO,380.8
2026-05,SUBTE,3.5
2026-05,TREN,0.0
2026-06,AUTO,550.9
2026-06,CAMINANDO,45.8
2026-06,COLECTIVO,435.7
2026-06,MOTO,225.8
2026-06,SUBTE,6.4
2026-06,TREN,9.0
2026-07,AUTO,560.6
2026-07,CAMINANDO,48.7
2026-07,COLECTIVO,542.2
2026-07,MOTO,75.8
2026-07,SUBTE,9.0
2026-07,TREN,16.5
2026-08,AUTO,110.4
2026-08,CAMINANDO,24.0
2026-08,COLECTIVO,462.7
2026-08,MOTO,325.4
2026-08,SUBTE,7.7
2026-08,TREN,0.0
